method,k,cv_r2,cv_std,train_r2,overfit
mRMR,30,0.4788652767420068,0.043474719976608935,0.6238690931820352,0.1450038164400284
mRMR,50,0.49218120887786376,0.04037364525969386,0.6536641922993118,0.16148298342144807
mRMR,75,0.4968497974787085,0.04267109366555962,0.6640358378241342,0.16718604034542572
mRMR,100,0.4947040393613963,0.04028909228415304,0.6746507393692938,0.17994670000789748
mRMR,150,0.5018412087201946,0.04191850973992141,0.6877144886486449,0.18587327992845037
mRMR,200,0.49587543975477855,0.04010887519679743,0.6919032511870393,0.19602781143226078
mRMR,250,0.49874115799073915,0.042552421791304314,0.7010492112139468,0.20230805322320766
mRMR,300,0.5002252805475668,0.04389616448648472,0.7039885033408254,0.20376322279325865
ReliefF,30,0.4541888130199238,0.05157069502071161,0.5887765914432702,0.1345877784233464
ReliefF,50,0.45630792122464425,0.050256167689030705,0.6104190898037749,0.15411116857913065
ReliefF,75,0.48545303761651226,0.046947291126923286,0.6455040895335546,0.1600510519170424
ReliefF,100,0.4947060960514939,0.04655731411534842,0.6620739854392739,0.16736788938777997
ReliefF,150,0.49894925013002156,0.04503176207820491,0.6760041698683801,0.17705491973835852
ReliefF,200,0.5046692380195377,0.04400571663886152,0.6912634996457717,0.18659426162623405
ReliefF,250,0.5050365822785143,0.048330026301469896,0.6988445203389361,0.19380793806042174
ReliefF,300,0.4999807018058287,0.043639506099279954,0.7044930800842164,0.2045123782783877
f_regression,30,0.4650834847016605,0.05149912292758409,0.6096446918993632,0.1445612071977027
f_regression,50,0.4756563197039762,0.05257905168603336,0.6358817497351549,0.16022543003117867
f_regression,75,0.4963516319100204,0.04149334481383335,0.6638127869458985,0.1674611550358781
f_regression,100,0.49950814997343923,0.03803130150551706,0.6736145434562114,0.17410639348277218
f_regression,150,0.4977417316312428,0.047454362877605495,0.6772640489248176,0.17952231729357482
f_regression,200,0.5048631225977204,0.04076293490640564,0.6914075199394125,0.18654439734169215
f_regression,250,0.5029773597173046,0.04378582228694583,0.6996268322090959,0.19664947249179132
f_regression,300,0.5009956044590504,0.044864753475740114,0.7018835887069416,0.20088798424789112
