scoring_func,k,tuned_cv_r2,tuned_cv_std,tuned_train_r2,tuned_overfit,vanilla_cv_r2,vanilla_cv_std,vanilla_train_r2,vanilla_overfit
f_regression,30,0.4650834847016605,0.05149912292758409,0.6096446918993632,0.1445612071977027,0.4054513861010821,0.05142610252588059,0.9999460200042575,0.5944946339031754
f_regression,50,0.4756563197039762,0.05257905168603336,0.6358817497351549,0.16022543003117867,0.41495706689099077,0.04872167091443444,0.9999760681980883,0.5850190013070975
f_regression,75,0.4963516319100204,0.04149334481383335,0.6638127869458985,0.1674611550358781,0.481568107847916,0.056045948404411634,0.9999954186056519,0.518427310757736
f_regression,100,0.49950814997343923,0.03803130150551706,0.6736145434562114,0.17410639348277218,0.4575881521333116,0.0492229561002195,0.9999951835174488,0.5424070313841372
f_regression,150,0.4977417316312428,0.047454362877605495,0.6772640489248176,0.17952231729357482,0.4620508117993335,0.049322304263844874,0.9999971510196286,0.5379463392202951
f_regression,200,0.5048631225977204,0.04076293490640564,0.6914075199394125,0.18654439734169215,0.45779953558586295,0.05552531064906755,0.9999992186963957,0.5421996831105328
f_regression,250,0.5029773597173046,0.04378582228694583,0.6996268322090959,0.19664947249179132,0.45414345572796044,0.05368215900625312,0.9999986561260125,0.545855200398052
f_regression,300,0.5009956044590504,0.044864753475740114,0.7018835887069416,0.20088798424789112,0.43086639733290377,0.04796352425106245,0.9999987551720404,0.5691323578391366
f_regression,350,0.5028736209163049,0.04324064199544025,0.7113494819190895,0.2084758610027846,0.40630051402290973,0.060651158107985936,0.9999981845746285,0.5936976705517187
f_regression,400,0.5036978290710084,0.04212725629709203,0.7120971693154694,0.20839934024446105,0.4251082058869738,0.05531038159320583,0.9999989442876502,0.5748907384006765
mutual_info_regression,30,0.48076982314984174,0.05574846662937424,0.624127590308448,0.14335776715860626,0.4262620859598325,0.08700275926857381,0.9999042224723869,0.5736421365125544
mutual_info_regression,50,0.48812365036475514,0.05636431868409478,0.6467354393839941,0.158611789019239,0.4107567059604114,0.05654311554692096,0.9999773586428059,0.5892206526823944
mutual_info_regression,75,0.4900142864281216,0.04855478705724239,0.6584970575745659,0.16848277114644428,0.43440400098424414,0.05094182447700271,0.9999897861656366,0.5655857851813925
mutual_info_regression,100,0.48922428967202247,0.048878420100684196,0.6622166380023244,0.17299234833030197,0.43707122802363685,0.05640622316222039,0.9999915910062486,0.5629203629826117
mutual_info_regression,150,0.5011442506174358,0.041472519471973994,0.6833882149402948,0.18224396432285894,0.451049220155405,0.038747729377374994,0.9999915059588462,0.5489422858034412
mutual_info_regression,200,0.4981929092408349,0.043971085016200215,0.6915415376218279,0.19334862838099298,0.42103579268424046,0.05751911922417865,0.9999932420937546,0.5789574494095142
mutual_info_regression,250,0.49679929571075626,0.04420599636203215,0.6953705439376864,0.19857124822693012,0.3995410085913126,0.04845458785904231,0.9999966971006735,0.6004556885093609
mutual_info_regression,300,0.4931473900182638,0.043723586626683596,0.6984747319666533,0.20532734194838953,0.4157186778858171,0.03281465620817662,0.9999950213225289,0.5842763434367118
mutual_info_regression,350,0.49602730847257037,0.04473818884564779,0.7013199520693938,0.20529264359682342,0.3907804068853856,0.06172178390059826,0.9999988685590162,0.6092184616736306
mutual_info_regression,400,0.4907986318342843,0.04792243410257886,0.7040512165414806,0.21325258470719632,0.4318406567679361,0.0505597675480961,0.9999974104709567,0.5681567537030205
r_regression,30,0.4714980442053342,0.03033106962559351,0.609316528192847,0.13781848398751279,0.45713463399104876,0.029602905302123936,0.9999013304369878,0.542766696445939
r_regression,50,0.47588556560663386,0.03162163838451308,0.6294360204151765,0.15355045480854268,0.4320597848757049,0.015859855096307166,0.9999325800968171,0.5678727952211122
r_regression,75,0.4726942378227247,0.028400694589868946,0.6432445389819427,0.170550301159218,0.4150237349946628,0.04138370153822132,0.999926212760907,0.5849024777662442
r_regression,100,0.48481152578041753,0.027318496638480166,0.6599472896216856,0.17513576384126806,0.41112843035800994,0.05332577536994522,0.9999741178174166,0.5888456874594067
r_regression,150,0.477466519685721,0.027198712360479244,0.6691464466109022,0.19167992692518115,0.3819559220307457,0.038114755544727985,0.9999733635566513,0.6180174415259057
r_regression,200,0.47613618287412895,0.027204293545039258,0.6728708192446227,0.1967346363704937,0.3728260006271452,0.03936330426419204,0.9999931626212284,0.6271671619940832
r_regression,250,0.4722111313130054,0.025550798426803394,0.6779059899522625,0.20569485863925707,0.36933484890667573,0.031153904439885968,0.9999939362478932,0.6306590873412175
r_regression,300,0.46568136021549816,0.025577097787140617,0.6800250779928257,0.21434371777732758,0.3641285598967373,0.04540977207391455,0.9999889284001101,0.6358603685033728
r_regression,350,0.46288933439349195,0.028440815889851385,0.681542552859004,0.21865321846551206,0.34514639038773304,0.04498465808428379,0.9999937373310462,0.6548473469433131
r_regression,400,0.4637443121024288,0.03083667944781544,0.6845068146645792,0.2207625025621504,0.33849911578528297,0.03971641118226062,0.9999980451839066,0.6614989293986235
